City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
193,Ontario,US,2021-04-21 18:10:54,34.0633,-117.6509,63.0,59,90,8.05
194,Eenhana,NA,2021-04-21 18:10:54,-17.4667,16.3333,78.8,34,9,4.61
195,Cherskiy,RU,2021-04-21 18:10:55,68.75,161.3,26.55,68,52,17.56
196,Fort Frances,CA,2021-04-21 18:10:25,48.5999,-93.4003,37.4,44,90,12.66
197,Fortuna,US,2021-04-21 18:08:31,40.5982,-124.1573,55.99,93,90,5.75
198,Khasan,RU,2021-04-21 18:10:56,42.4308,130.6434,46.53,69,83,1.68
199,Maragogi,BR,2021-04-21 18:09:09,-9.0122,-35.2225,82.17,74,76,9.51
200,Saldanha,ZA,2021-04-21 18:10:56,-33.0117,17.9442,60.8,77,51,1.14
201,Nishihara,JP,2021-04-21 18:10:57,26.1842,127.7558,69.8,83,75,14.97
202,Atkarsk,RU,2021-04-21 18:10:57,51.8718,45.0078,45.36,87,82,3.91
203,Necochea,AR,2021-04-21 18:10:58,-38.5473,-58.7368,77.0,49,25,25.99
204,Metes,RO,2021-04-21 18:10:58,46.1,23.4167,50.0,76,75,3.44
205,Dikson,RU,2021-04-21 18:10:59,73.5069,80.5464,29.84,93,100,16.22
206,Abha,SA,2021-04-21 18:10:59,18.2164,42.5053,69.8,48,0,4.61
207,Yagoua,CM,2021-04-21 18:07:26,10.3411,15.2329,96.28,23,99,7.99
208,Manitouwadge,CA,2021-04-21 18:11:00,49.1215,-85.8403,35.6,51,75,4.61
209,Kamenka,RU,2021-04-21 18:11:00,51.3223,42.7678,45.0,90,77,7.36
210,Lompoc,US,2021-04-21 18:11:00,34.6391,-120.4579,55.4,71,98,9.22
211,Amapa,BR,2021-04-21 18:11:01,1.0,-52.0,79.95,91,95,3.42
212,Rasra,IN,2021-04-21 18:11:01,25.85,83.85,86.45,26,100,5.97
213,Sept-Iles,CA,2021-04-21 18:09:20,50.2001,-66.3821,46.4,57,75,11.5
214,Quatre Cocos,MU,2021-04-21 18:11:02,-20.2078,57.7625,77.0,94,75,8.05
215,Mount Gambier,AU,2021-04-21 18:08:35,-37.8333,140.7667,50.0,100,75,10.36
216,Portoferraio,IT,2021-04-21 18:11:03,42.8115,10.3146,60.01,82,90,12.66
217,Ardabil,IR,2021-04-21 18:11:04,38.2498,48.2933,65.28,44,70,4.12
218,Kawanishi,JP,2021-04-21 18:11:04,34.8167,135.4167,55.99,57,56,1.01
219,Salalah,OM,2021-04-21 18:11:05,17.0151,54.0924,81.12,74,98,5.46
220,Guerrero Negro,MX,2021-04-21 18:08:29,27.9769,-114.0611,65.07,56,42,10.89
221,Vila Velha,BR,2021-04-21 18:09:43,-20.3297,-40.2925,84.0,57,20,10.36
222,Gallup,US,2021-04-21 18:11:05,35.5281,-108.7426,64.4,9,1,23.02
223,Dingle,PH,2021-04-21 18:11:06,10.9995,122.6711,78.24,81,100,7.85
224,Nanortalik,GL,2021-04-21 18:11:06,60.1432,-45.2371,39.25,70,100,5.12
225,Baran,IN,2021-04-21 18:11:07,25.1,76.5167,81.81,26,60,4.76
226,Yulara,AU,2021-04-21 18:11:07,-25.2406,130.9889,55.4,47,0,8.05
227,La Ronge,CA,2021-04-21 18:11:08,55.1001,-105.2842,59.0,21,8,5.75
228,Manta,EC,2021-04-21 18:10:08,-0.95,-80.7333,80.6,78,40,10.36
229,Taunggyi,MM,2021-04-21 18:11:08,20.7833,97.0333,68.41,45,1,1.99
230,Pueblo,US,2021-04-21 18:07:02,38.2545,-104.6091,42.01,45,1,9.22
231,Srednekolymsk,RU,2021-04-21 18:11:09,67.45,153.6833,22.96,77,20,9.13
232,Derzhavinsk,KZ,2021-04-21 18:11:09,51.1,66.3167,44.19,54,5,6.64
233,Mao,ES,2021-04-21 18:09:22,39.8885,4.2658,57.2,82,75,12.66
234,Teguise,ES,2021-04-21 18:09:52,29.0605,-13.564,71.6,53,20,17.27
235,Ust-Nera,RU,2021-04-21 18:11:10,64.5667,143.2,17.11,76,100,7.18
236,Pisco,PE,2021-04-21 18:10:30,-13.7,-76.2167,73.4,64,0,21.85
237,Kununurra,AU,2021-04-21 18:11:11,-15.7667,128.7333,68.0,94,5,3.44
238,Olinda,BR,2021-04-21 18:11:11,-8.0089,-34.8553,82.4,65,0,10.36
239,Providencia,MX,2021-04-21 18:11:12,28.7167,-111.5833,88.0,28,40,8.99
240,Esperance,AU,2021-04-21 18:08:42,-33.8667,121.9,59.0,94,90,4.61
241,Carutapera,BR,2021-04-21 18:11:13,-1.195,-46.02,77.5,93,95,2.04
242,Winnemucca,US,2021-04-21 18:11:13,40.973,-117.7357,59.0,18,1,14.97
243,Isangel,VU,2021-04-21 18:11:14,-19.55,169.2667,77.5,87,56,5.93
244,Kautokeino,NO,2021-04-21 18:11:14,69.0125,23.0412,31.78,86,100,18.21
245,La Llanada,CO,2021-04-21 18:11:15,1.49,-77.5835,60.76,66,99,4.81
246,Kushmurun,KZ,2021-04-21 18:11:15,52.4503,64.6311,45.45,50,2,2.86
247,Tuatapere,NZ,2021-04-21 18:08:53,-46.1333,167.6833,46.99,97,86,2.48
248,Sovetskiy,RU,2021-04-21 18:11:16,61.3614,63.5842,42.19,72,7,7.96
249,Pangnirtung,CA,2021-04-21 18:08:58,66.1451,-65.7125,30.2,64,90,21.85
250,Ribeira Grande,PT,2021-04-21 18:11:16,38.5167,-28.7,64.4,94,75,26.46
251,Praia Da Vitoria,PT,2021-04-21 18:11:17,38.7333,-27.0667,64.0,94,75,26.75
252,High Level,CA,2021-04-21 18:11:17,58.5169,-117.136,35.6,75,90,21.85
253,Vysokogornyy,RU,2021-04-21 18:11:17,50.1167,139.15,21.09,92,22,0.78
254,Klaksvik,FO,2021-04-21 18:11:18,62.2266,-6.589,42.8,75,75,14.97
255,Mabaruma,GY,2021-04-21 18:11:18,8.2,-59.7833,85.3,58,73,7.83
256,Cravo Norte,CO,2021-04-21 18:11:18,6.3017,-70.2041,96.53,28,93,7.29
257,Mpika,ZM,2021-04-21 18:11:19,-11.8343,31.4529,59.09,97,100,4.54
258,Katsuura,JP,2021-04-21 18:11:19,35.1333,140.3,59.0,29,0,11.5
259,Salamanca,ES,2021-04-21 18:11:20,40.8333,-6.0,53.6,71,40,13.8
260,Zhigansk,RU,2021-04-21 18:11:20,66.7697,123.3711,-6.66,100,68,3.49
261,Tifton,US,2021-04-21 18:11:21,31.4505,-83.5085,78.8,29,1,16.11
262,Cururupu,BR,2021-04-21 18:11:21,-1.8283,-44.8683,83.1,71,96,2.21
263,Severo-Kurilsk,RU,2021-04-21 18:11:22,50.6789,156.125,35.51,90,100,11.3
264,Fairhope,US,2021-04-21 18:11:22,30.523,-87.9033,69.8,51,1,12.66
265,Maceio,BR,2021-04-21 18:09:54,-9.6658,-35.7353,86.0,70,20,12.66
266,Rocha,UY,2021-04-21 18:11:23,-34.4833,-54.3333,73.35,60,44,15.88
267,San Patricio,US,2021-04-21 18:11:23,28.017,-97.5169,69.01,45,90,8.05
268,Les Escoumins,CA,2021-04-21 18:11:24,48.1111,-69.0236,37.4,65,99,9.22
269,Atar,MR,2021-04-21 18:11:24,20.5169,-13.0499,98.6,22,7,11.5
270,Nha Trang,VN,2021-04-21 18:11:06,12.25,109.1833,77.0,94,75,3.44
271,Terney,RU,2021-04-21 18:11:24,45.0503,136.6092,39.4,68,0,6.2
272,Alyangula,AU,2021-04-21 18:11:25,-13.8483,136.4192,75.2,100,98,10.22
273,Sisophon,KH,2021-04-21 18:11:25,13.5859,102.9737,82.74,69,57,5.46
274,Haines Junction,CA,2021-04-21 18:11:26,60.7522,-137.5108,39.2,30,14,4.61
275,Tsiroanomandidy,MG,2021-04-21 18:11:26,-18.7667,46.0333,68.0,87,72,1.12
276,Takaungu,KE,2021-04-21 18:11:27,-3.6837,39.8566,80.44,80,63,16.35
277,Sigli,ID,2021-04-21 18:11:27,5.3848,95.9609,79.59,83,99,5.32
278,Galle,LK,2021-04-21 18:10:03,6.0367,80.217,81.16,77,76,6.73
279,Mastic Beach,US,2021-04-21 18:11:28,40.7668,-72.8521,61.0,77,90,12.66
280,Fairbanks,US,2021-04-21 18:09:16,64.8378,-147.7164,37.99,47,20,3.44
281,Sinegorye,RU,2021-04-21 18:11:29,62.0788,150.477,21.11,91,81,6.82
282,Narsaq,GL,2021-04-21 18:11:29,60.9167,-46.05,48.2,29,75,25.32
283,Cheremisinovo,RU,2021-04-21 18:11:30,51.8855,37.2646,44.6,70,75,6.71
284,Kodiak,US,2021-04-21 18:08:36,57.79,-152.4072,41.0,87,90,19.57
285,Nata,PA,2021-04-21 18:11:31,8.3333,-80.5167,86.0,74,40,9.22
286,El Transito,SV,2021-04-21 18:11:31,13.35,-88.35,89.6,66,20,2.3
287,Lavrentiya,RU,2021-04-21 18:08:47,65.5833,-171.0,20.26,61,88,4.12
288,Noyabrsk,RU,2021-04-21 18:11:32,63.1994,75.4507,15.21,89,86,8.9
289,Ranong,TH,2021-04-21 18:11:32,9.9658,98.6348,81.28,78,86,5.21
290,Georgetown,MY,2021-04-21 18:11:33,5.4112,100.3354,84.0,89,40,2.3
291,Redlands,US,2021-04-21 18:07:24,34.0556,-117.1825,62.01,51,90,3.44
292,Lagoa,PT,2021-04-21 18:09:06,39.05,-27.9833,63.39,91,100,32.82
293,Kasongo-Lunda,CD,2021-04-21 18:11:33,-6.4667,16.8167,72.09,96,99,2.91
